sample_id,class_name,source,split,tree_id,view_id,image_path,bbox_area,y_center,label_count,pca_x,pca_y,tsne_x,tsne_y,centroid_distance,instance_id,x_center,bbox_w,bbox_h
16237,B1,DAMIMAS,test,DAMIMAS_A21B_0339,3,dataset_640\images\test\DAMIMAS_A21B_0339_3.jpg,0.0038011984259999996,0.318909,3,-5.0144453048706055,-1.2880816459655762,-28.90047836303711,-3.311117172241211,12.756034851074219,16237,0.373522,0.064426,0.059001
14636,B1,DAMIMAS,val,DAMIMAS_A21B_0776,1,dataset_640\images\val\DAMIMAS_A21B_0776_1.jpg,0.04610565971000001,0.281525,3,4.645660400390625,1.401279330253601,23.410160064697266,12.105981826782227,13.003178596496582,14636,0.736342,0.270589,0.17039
4674,B1,DAMIMAS,train,DAMIMAS_A21B_0378,1,dataset_640\images\train\DAMIMAS_A21B_0378_1.jpg,0.00162180918,0.463325,7,-7.201879501342773,0.47086846828460693,-30.001495361328125,-7.158738136291504,13.161249160766602,4674,0.607422,0.052445,0.030924
12124,B1,LONSUM,train,LONSUM_A21A_0054,4,dataset_640\images\train\LONSUM_A21A_0054_4.jpg,0.011402607656,0.409965,3,-3.341465473175049,-0.4490200877189636,-24.820594787597656,-0.9157609343528748,13.649892807006836,12124,0.668913,0.121528,0.093827
3572,B1,DAMIMAS,train,DAMIMAS_A21B_0299,2,dataset_640\images\train\DAMIMAS_A21B_0299_2.jpg,0.008099052964999999,0.359898,3,-5.898925304412842,-1.2285723686218262,-33.87092971801758,-1.2784067392349243,13.826626777648926,3572,0.727652,0.089359,0.090635
12598,B1,DAMIMAS,val,DAMIMAS_A21B_0081,4,dataset_640\images\val\DAMIMAS_A21B_0081_4.jpg,0.011645080841,0.507851,5,3.6403188705444336,-8.159566879272461,15.762923240661621,-0.8479585647583008,13.887988090515137,12598,0.690429,0.122411,0.095131
12341,B1,LONSUM,train,LONSUM_A21A_0088,1,dataset_640\images\train\LONSUM_A21A_0088_1.jpg,0.001978852356,0.330078,4,-9.185927391052246,-1.2946860790252686,-35.843162536621094,-5.376572132110596,14.655076026916504,12341,0.598958,0.054036,0.036621
11691,B1,DAMIMAS,train,DAMIMAS_A21B_0854,6,dataset_640\images\train\DAMIMAS_A21B_0854_6.jpg,0.033242935184000004,0.534447,3,1.7417088747024536,1.6902563571929932,32.12553787231445,-7.045294761657715,17.045734405517578,11691,0.365888,0.203312,0.163507
12311,B2,LONSUM,train,LONSUM_A21A_0083,1,dataset_640\images\train\LONSUM_A21A_0083_1.jpg,0.002096791914,0.195981,4,-7.497311115264893,-3.4953505992889404,-40.38148498535156,-0.14748653769493103,13.232446670532227,12311,0.582495,0.042362,0.049497
12050,B2,LONSUM,train,LONSUM_A21A_0044,3,dataset_640\images\train\LONSUM_A21A_0044_3.jpg,0.009513225432,0.418204,4,-3.479174852371216,-3.6921606063842773,-34.736324310302734,5.701979160308838,13.331149101257324,12050,0.342212,0.104822,0.090756
12130,B2,LONSUM,train,LONSUM_A21A_0055,2,dataset_640\images\train\LONSUM_A21A_0055_2.jpg,0.004181264765999999,0.37993,4,-6.162188529968262,-2.0736703872680664,-38.5362663269043,2.3585238456726074,13.34099006652832,12130,0.369119,0.060354,0.069279
11922,B2,LONSUM,train,LONSUM_A21A_0030,2,dataset_640\images\train\LONSUM_A21A_0030_2.jpg,0.010420922864000001,0.475779,1,-5.082779884338379,-0.07785108685493469,-31.489965438842773,8.609642028808594,13.414470672607422,11922,0.574491,0.112937,0.092272
12404,B2,LONSUM,train,LONSUM_A21A_0098,2,dataset_640\images\train\LONSUM_A21A_0098_2.jpg,0.006897508557,0.190761,3,-6.0321221351623535,-1.42239511013031,-34.99563217163086,9.672518730163574,13.621916770935059,12404,0.477517,0.091587,0.075311
12243,B2,LONSUM,train,LONSUM_A21A_0068,3,dataset_640\images\train\LONSUM_A21A_0068_3.jpg,0.00443436279,0.330265,5,-8.422123908996582,-0.47176867723464966,-36.37355041503906,-0.05987429618835449,14.001741409301758,12243,0.63954,0.05863,0.075633
12372,B2,LONSUM,train,LONSUM_A21A_0092,1,dataset_640\images\train\LONSUM_A21A_0092_1.jpg,0.0014467291869999998,0.25415,4,-8.874785423278809,-1.0852980613708496,-40.94630813598633,-4.4537763595581055,14.061859130859375,12372,0.605632,0.040039,0.036133
12312,B2,LONSUM,train,LONSUM_A21A_0083,1,dataset_640\images\train\LONSUM_A21A_0083_1.jpg,0.0013510102319999999,0.169872,4,-9.306253433227539,-2.6646060943603516,-39.634117126464844,-3.5207865238189697,15.332002639770508,12312,0.424843,0.037818,0.035724
10659,B3,DAMIMAS,train,DAMIMAS_A21B_0798,4,dataset_640\images\train\DAMIMAS_A21B_0798_4.jpg,0.042456447247000005,0.319086,3,4.051177024841309,7.863918304443359,7.004049301147461,-24.731773376464844,13.603361129760742,10659,0.358815,0.229379,0.185093
12073,B3,LONSUM,train,LONSUM_A21A_0047,4,dataset_640\images\train\LONSUM_A21A_0047_4.jpg,0.0016166472,0.434891,5,-8.3599271774292,-3.0252737998962402,-42.2613639831543,-2.3121449947357178,13.643806457519531,12073,0.381464,0.039648,0.040775
